ensembl_gene_id	hgnc_symbol	description	source	logFC	logCPM	LR	PValue	FDR
ENSOCUG00000011697	VCAM1	vascular cell adhesion molecule 1 	Source:HGNC Symbol;Acc:HGNC:12663	2.663068785	5.981471288	150.0497267	1.69E-34	4.00E-30
ENSOCUG00000000023	PKP2	plakophilin 2 	Source:HGNC Symbol;Acc:HGNC:9024	2.539307752	5.843102667	123.0672517	1.35E-28	1.60E-24
ENSOCUG00000024623				-6.541741201	2.049243148	112.2664664	3.12E-26	2.46E-22
ENSOCUG00000025827	NAT8	N-acetyltransferase 8 (putative) 	Source:HGNC Symbol;Acc:HGNC:18069	-5.278979057	5.317898728	107.5830913	3.32E-25	1.96E-21
ENSOCUG00000026273				2.712337884	9.731933577	106.7252423	5.11E-25	2.42E-21
ENSOCUG00000000128	C21orf91	chromosome 21 open reading frame 91 	Source:HGNC Symbol;Acc:HGNC:16459	3.8059107	4.873582773	106.2787505	6.41E-25	2.53E-21
ENSOCUG00000004804	FLVCR1	feline leukemia virus subgroup C cellular receptor 1 	Source:HGNC Symbol;Acc:HGNC:24682	3.399686445	1.600542262	100.2267211	1.36E-23	4.60E-20
ENSOCUG00000029644	ICAM1	intercellular adhesion molecule 1 	Source:HGNC Symbol;Acc:HGNC:5344	3.109680969	5.121316652	98.84407088	2.73E-23	8.08E-20
ENSOCUG00000002819	IRAK2	interleukin 1 receptor associated kinase 2 	Source:HGNC Symbol;Acc:HGNC:6113	2.25676026	3.446069969	97.13390633	6.48E-23	1.70E-19
ENSOCUG00000007089	PLK2	polo like kinase 2 	Source:HGNC Symbol;Acc:HGNC:19699	1.847720261	4.889856388	95.74395675	1.31E-22	3.09E-19
ENSOCUG00000025674	SPTY2D1	SPT2 chromatin protein domain containing 1 	Source:HGNC Symbol;Acc:HGNC:26818	3.038515979	3.639837729	89.81102	2.62E-21	5.64E-18
ENSOCUG00000006957	IL1R1	interleukin 1 receptor type 1 	Source:HGNC Symbol;Acc:HGNC:5993	2.654782955	8.917536773	87.82936806	7.14E-21	1.41E-17
ENSOCUG00000017236	LRRC2	leucine rich repeat containing 2 	Source:HGNC Symbol;Acc:HGNC:14676	2.948426268	5.833673626	87.62912681	7.90E-21	1.44E-17
ENSOCUG00000002863	IFIH1	interferon induced with helicase C domain 1 	Source:HGNC Symbol;Acc:HGNC:18873	3.748798504	5.739660416	86.44403019	1.44E-20	2.43E-17
ENSOCUG00000029399	SH2D1B	SH2 domain containing 1B 	Source:HGNC Symbol;Acc:HGNC:30416	3.098241076	3.89354407	86.26384277	1.57E-20	2.48E-17
ENSOCUG00000020913				7.137373537	-0.795738989	85.55435666	2.25E-20	3.33E-17
ENSOCUG00000009811	ZNFX1	zinc finger NFX1-type containing 1 	Source:HGNC Symbol;Acc:HGNC:29271	3.021361338	7.437121559	80.02523256	3.70E-19	5.15E-16
ENSOCUG00000010311	NXPE4	neurexophilin and PC-esterase domain family member 4 	Source:HGNC Symbol;Acc:HGNC:23117	4.176667986	2.102071717	79.89728597	3.94E-19	5.19E-16
ENSOCUG00000002051				-7.952470607	0.229171753	79.67438824	4.41E-19	5.50E-16
ENSOCUG00000017424	ATF3	activating transcription factor 3 	Source:HGNC Symbol;Acc:HGNC:785	4.092783221	4.229528262	78.98319558	6.26E-19	7.41E-16
ENSOCUG00000008117	CD274	CD274 molecule 	Source:HGNC Symbol;Acc:HGNC:17635	3.436382222	4.638722184	78.47815493	8.09E-19	9.12E-16
ENSOCUG00000003344	IDO1	"indoleamine 2,3-dioxygenase 1 "	Source:HGNC Symbol;Acc:HGNC:6059	3.131203784	2.557322007	77.06697735	1.65E-18	1.71E-15
ENSOCUG00000003325	SOWAHC	sosondowah ankyrin repeat domain family member C 	Source:HGNC Symbol;Acc:HGNC:26149	2.759596552	2.515905611	77.05604323	1.66E-18	1.71E-15
ENSOCUG00000026233	HRASLS2	HRAS like suppressor 2 	Source:HGNC Symbol;Acc:HGNC:17824	6.86703503	5.490546226	75.87643709	3.02E-18	2.86E-15
ENSOCUG00000007482	CX3CL1	C-X3-C motif chemokine ligand 1 	Source:HGNC Symbol;Acc:HGNC:10647	3.936897043	1.026894484	75.86507169	3.04E-18	2.86E-15
ENSOCUG00000011338	TRIM25	tripartite motif containing 25 	Source:HGNC Symbol;Acc:HGNC:12932	2.922234094	4.893923396	75.80085483	3.14E-18	2.86E-15
ENSOCUG00000026206				3.869343346	0.170413882	74.8874684	4.98E-18	4.37E-15
ENSOCUG00000014367	SGK1	serum/glucocorticoid regulated kinase 1 	Source:HGNC Symbol;Acc:HGNC:10810	3.201212219	6.911703004	74.35902207	6.51E-18	5.51E-15
ENSOCUG00000020931	SAMD9	sterile alpha motif domain containing 9 	Source:HGNC Symbol;Acc:HGNC:1348	4.835088422	4.736390063	74.26089314	6.84E-18	5.59E-15
ENSOCUG00000022941	DTX3L	deltex E3 ubiquitin ligase 3L 	Source:HGNC Symbol;Acc:HGNC:30323	3.151761838	6.142067654	74.14710977	7.25E-18	5.72E-15
ENSOCUG00000010109	BIRC3	baculoviral IAP repeat containing 3 	Source:HGNC Symbol;Acc:HGNC:591	3.365587708	5.741545197	73.18794587	1.18E-17	9.00E-15
ENSOCUG00000002183	PML	promyelocytic leukemia 	Source:HGNC Symbol;Acc:HGNC:9113	3.017469376	4.85556751	72.05213034	2.10E-17	1.55E-14
ENSOCUG00000016813	OLR1	oxidized low density lipoprotein receptor 1 	Source:HGNC Symbol;Acc:HGNC:8133	4.864349927	-0.110599453	71.41981727	2.89E-17	2.07E-14
ENSOCUG00000027854	TLR5	toll like receptor 5 	Source:HGNC Symbol;Acc:HGNC:11851	2.80931872	4.484580577	71.1215926	3.36E-17	2.34E-14
ENSOCUG00000002699	PARP9	poly(ADP-ribose) polymerase family member 9 	Source:HGNC Symbol;Acc:HGNC:24118	3.247551503	5.87374608	70.99613641	3.58E-17	2.42E-14
ENSOCUG00000004545	STK3	serine/threonine kinase 3 	Source:HGNC Symbol;Acc:HGNC:11406	2.120427544	3.130529433	70.83729378	3.88E-17	2.55E-14
ENSOCUG00000005277	NOD1	nucleotide binding oligomerization domain containing 1 	Source:HGNC Symbol;Acc:HGNC:16390	2.095808008	4.641123586	70.45101191	4.72E-17	3.02E-14
ENSOCUG00000003400	ZFP36	ZFP36 ring finger protein 	Source:HGNC Symbol;Acc:HGNC:12862	2.851423915	4.796329347	70.20526484	5.34E-17	3.33E-14
ENSOCUG00000024939	IFIT2	interferon induced protein with tetratricopeptide repeats 2 	Source:HGNC Symbol;Acc:HGNC:5409	5.010295303	6.260185895	69.63101369	7.15E-17	4.34E-14
ENSOCUG00000029154				4.957195734	8.083367262	68.45046248	1.30E-16	7.70E-14
ENSOCUG00000002574	STEAP4	STEAP4 metalloreductase 	Source:HGNC Symbol;Acc:HGNC:21923	2.630510424	7.22567375	68.1091671	1.55E-16	8.70E-14
ENSOCUG00000004501				5.618866469	7.038313436	68.09882335	1.56E-16	8.70E-14
ENSOCUG00000021564				-3.146071641	2.528356148	68.06698242	1.58E-16	8.70E-14
ENSOCUG00000007703	SUSD6	sushi domain containing 6 	Source:HGNC Symbol;Acc:HGNC:19956	1.994768952	4.174901672	67.35017571	2.27E-16	1.22E-13
ENSOCUG00000017438	SELE	selectin E 	Source:HGNC Symbol;Acc:HGNC:10718	4.414078081	-0.208472417	67.25044838	2.39E-16	1.24E-13
ENSOCUG00000026044				4.798214028	2.605779377	67.22967166	2.42E-16	1.24E-13
ENSOCUG00000004422	BTG2	BTG anti-proliferation factor 2 	Source:HGNC Symbol;Acc:HGNC:1131	2.618950967	4.804410866	66.23992695	3.99E-16	2.01E-13
ENSOCUG00000008544	ADAR	"adenosine deaminase, RNA specific "	Source:HGNC Symbol;Acc:HGNC:225	2.241138548	7.144577734	66.09300201	4.30E-16	2.12E-13
ENSOCUG00000002523	POLD3	"DNA polymerase delta 3, accessory subunit "	Source:HGNC Symbol;Acc:HGNC:20932	1.788135719	4.101562111	65.99935312	4.51E-16	2.18E-13
ENSOCUG00000003303	CD83	CD83 molecule 	Source:HGNC Symbol;Acc:HGNC:1703	2.147281454	1.85279761	65.67783865	5.31E-16	2.51E-13
ENSOCUG00000003764				4.173615682	4.132351491	65.23873403	6.64E-16	3.05E-13
ENSOCUG00000006261	PIWIL2	piwi like RNA-mediated gene silencing 2 	Source:HGNC Symbol;Acc:HGNC:17644	5.567295808	2.138869153	65.18441811	6.82E-16	3.05E-13
ENSOCUG00000004710	DDX58	DExD/H-box helicase 58 	Source:HGNC Symbol;Acc:HGNC:19102	3.571505488	8.209525658	65.18014733	6.84E-16	3.05E-13
ENSOCUG00000000619	SAMD9L	sterile alpha motif domain containing 9 like 	Source:HGNC Symbol;Acc:HGNC:1349	4.117890698	6.407587681	64.15846574	1.15E-15	5.03E-13
ENSOCUG00000000329	IL4R	interleukin 4 receptor 	Source:HGNC Symbol;Acc:HGNC:6015	1.440179626	5.867424862	63.81832435	1.36E-15	5.87E-13
ENSOCUG00000028214				-7.643884058	0.061179047	63.74020467	1.42E-15	6.00E-13
ENSOCUG00000002318	NUAK2	NUAK family kinase 2 	Source:HGNC Symbol;Acc:HGNC:29558	2.281592007	3.686180752	63.35576213	1.73E-15	7.14E-13
ENSOCUG00000009504	CD80	CD80 molecule 	Source:HGNC Symbol;Acc:HGNC:1700	3.246232336	2.311910633	63.32899523	1.75E-15	7.14E-13
ENSOCUG00000011573				2.138798116	4.228149147	62.54726996	2.60E-15	1.04E-12
ENSOCUG00000012904	LAYN	layilin 	Source:HGNC Symbol;Acc:HGNC:29471	-2.287832066	1.324248579	62.23645649	3.05E-15	1.20E-12
ENSOCUG00000021710		C-C motif chemokine 2 precursor  	Source:RefSeq peptide;Acc:NP_001075763	5.354230951	3.56246917	62.06542712	3.32E-15	1.29E-12
ENSOCUG00000003418	PARP14	poly(ADP-ribose) polymerase family member 14 	Source:HGNC Symbol;Acc:HGNC:29232	4.086959615	7.026432569	61.86201399	3.68E-15	1.41E-12
ENSOCUG00000008656				5.818572372	5.325353217	61.32092401	4.85E-15	1.82E-12
ENSOCUG00000005040	SLC31A1	solute carrier family 31 member 1 	Source:HGNC Symbol;Acc:HGNC:11016	2.25386861	7.02642439	60.86213152	6.12E-15	2.26E-12
ENSOCUG00000024734				4.022237501	5.453699457	60.64510359	6.83E-15	2.49E-12
ENSOCUG00000006316	PLEKHO1	pleckstrin homology domain containing O1 	Source:HGNC Symbol;Acc:HGNC:24310	-1.712717369	4.808173502	60.54464602	7.19E-15	2.58E-12
ENSOCUG00000021037	MX2	MX dynamin like GTPase 2 	Source:HGNC Symbol;Acc:HGNC:7533	5.081891215	4.977851737	60.17345535	8.69E-15	3.07E-12
ENSOCUG00000002030	TMEM139	transmembrane protein 139 	Source:HGNC Symbol;Acc:HGNC:22058	-2.102280106	2.418094701	60.0796953	9.11E-15	3.17E-12
ENSOCUG00000005735	NFKB2	nuclear factor kappa B subunit 2 	Source:HGNC Symbol;Acc:HGNC:7795	1.92609874	3.646182923	59.94473313	9.76E-15	3.35E-12
ENSOCUG00000000308				-8.576696157	0.755899821	59.66727516	1.12E-14	3.80E-12
